filename,flight,type,score,iou
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.99429554,0.762692391872406
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.99399793,0.8060505986213684
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9934534,0.8880742192268372
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.99152946,0.7029396295547485
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9911074,0.8414810299873352
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9901338,0.6896030902862549
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9890938,0.7554268836975098
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9868196,0.6565614938735962
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.98279566,0.5168036222457886
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9785559,0.7953258752822876
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.97849154,0.7780005931854248
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9768778,0.548835277557373
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.976872,0.8259665966033936
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.976344,0.8361124992370605
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9756933,0.843394935131073
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9747593,0.7354139685630798
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.97268236,0.878074049949646
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.971491,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.96995825,0.8093353509902954
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9681501,0.6940023303031921
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.96811926,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.96678555,0.6548008322715759
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9659315,0.7050458788871765
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9606752,0.16882389783859253
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9581153,0.0
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9571111,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9569234,0.5732492208480835
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.95536345,0.5846860408782959
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.95074254,0.5275104641914368
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.93718237,0.8906288743019104
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.92429763,0.5713984966278076
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9237848,0.6756826043128967
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9192764,0.0
